observed_date,vpn,countries,locations,servers,servers_claimed,source_type,source_url
2026-09-23,cyberghost,100,125,10054,,html,https://www.cyberghostvpn.com/vpn-server
2026-09-23,expressvpn,113,213,,,html,https://www.expressvpn.com/vpn-server
2026-09-23,mullvad,50,91,566,,api,https://api.mullvad.net/www/relays/all/
2026-09-23,nordvpn,150,225,7827,,api,https://api.nordvpn.com/v1/servers/countries
2026-09-23,private-internet-access,104,205,,,api,https://serverlist.piaservers.net/vpninfo/servers/v6
2026-09-23,surfshark,100,142,,4500,api,https://api.surfshark.com/v4/server/clusters/generic
2026-09-23,windscribe,72,75,,,api,https://assets.windscribe.com/serverlist/firefox/1/1
